Calculating solvability percentage...

[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[47.849, 59.740] | (160/137/2) | 298
[47.681, 59.554] | (160/138/2) | 299
[47.845, 59.695] | (161/138/2) | 300
[47.678, 59.510] | (161/139/2) | 301
[47.512, 59.327] | (161/140/2) | 302
[47.675, 59.467] | (162/140/2) | 303
[47.510, 59.285] | (162/141/2) | 304
[47.347, 59.104] | (162/142/2) | 305
[47.184, 58.924] | (162/143/2) | 306
[47.346, 59.063] | (163/143/2) | 307
[47.185, 58.885] | (163/144/2) | 308
[47.024, 58.707] | (163/145/2) | 309
[47.185, 58.846] | (164/145/2) | 310
[47.344, 58.984] | (165/145/2) | 311
[47.185, 58.807] | (165/146/2) | 312
[47.343, 58.945] | (166/146/2) | 313
[47.185, 58.770] | (166/147/2) | 314
[47.028, 58.596] | (166/148/2) | 315
[47.186, 58.732] | (167/148/2) | 316
[47.030, 58.559] | (167/149/2) | 317
[46.875, 58.695] | (167/149/3) | 318
[46.721, 58.523] | (167/150/3) | 319
[46.877, 58.658] | (168/150/3) | 320
[47.033, 58.793] | (169/150/3) | 321
[47.187, 58.926] | (170/150/3) | 322
[47.034, 58.756] | (170/151/3) | 323
[47.188, 58.888] | (171/151/3) | 324
[47.036, 58.719] | (171/152/3) | 325
[47.188, 58.851] | (172/152/3) | 326
[47.340, 58.982] | (173/152/3) | 327
[47.189, 58.814] | (173/153/3) | 328
[47.340, 58.944] | (174/153/3) | 329
[47.190, 58.777] | (174/154/3) | 330
[47.340, 58.907] | (175/154/3) | 331
[47.489, 59.036] | (176/154/3) | 332
[47.340, 58.870] | (176/155/3) | 333
[47.191, 58.706] | (176/156/3) | 334
[47.044, 58.542] | (176/157/3) | 335
[47.192, 58.670] | (177/157/3) | 336
[47.340, 58.798] | (178/157/3) | 337
[47.193, 58.635] | (178/158/3) | 338
[47.047, 58.473] | (178/159/3) | 339
[47.194, 58.600] | (179/159/3) | 340
[47.340, 58.727] | (180/159/3) | 341
[47.485, 58.852] | (181/159/3) | 342
[47.629, 58.977] | (182/159/3) | 343
[47.484, 58.817] | (182/160/3) | 344
[47.627, 58.941] | (183/160/3) | 345
[47.483, 58.782] | (183/161/3) | 346
[47.340, 58.623] | (183/162/3) | 347
[47.198, 58.465] | (183/163/3) | 348
[47.340, 58.589] | (184/163/3) | 349
[47.482, 58.712] | (185/163/3) | 350
[47.623, 58.835] | (186/163/3) | 351
[47.482, 58.678] | (186/164/3) | 352
[47.341, 58.522] | (186/165/3) | 353
[47.481, 58.644] | (187/165/3) | 354
[47.341, 58.489] | (187/166/3) | 355
[47.202, 58.336] | (187/167/3) | 356
[47.342, 58.457] | (188/167/3) | 357
[47.480, 58.578] | (189/167/3) | 358
[47.619, 58.698] | (190/167/3) | 359
[47.480, 58.545] | (190/168/3) | 360
[47.343, 58.393] | (190/169/3) | 361
[47.480, 58.512] | (191/169/3) | 362
[47.343, 58.361] | (191/170/3) | 363
[47.207, 58.211] | (191/171/3) | 364
[47.344, 58.330] | (192/171/3) | 365
[47.208, 58.180] | (192/172/3) | 366
[47.074, 58.031] | (192/173/3) | 367
[47.210, 58.150] | (193/173/3) | 368
[47.076, 58.002] | (193/174/3) | 369
[47.211, 58.120] | (194/174/3) | 370
[47.078, 57.973] | (194/175/3) | 371
[46.946, 57.827] | (194/176/3) | 372
[46.814, 57.681] | (194/177/3) | 373
[46.684, 57.536] | (194/178/3) | 374
[46.554, 57.392] | (194/179/3) | 375
[46.688, 57.510] | (195/179/3) | 376
[46.821, 57.627] | (196/179/3) | 377
[46.954, 57.744] | (197/179/3) | 378
[46.825, 57.601] | (197/180/3) | 379
[46.696, 57.458] | (197/181/3) | 380
[46.568, 57.574] | (197/181/4) | 381
[46.700, 57.690] | (198/181/4) | 382
[46.832, 57.804] | (199/181/4) | 383
[46.705, 57.663] | (199/182/4) | 384
[46.578, 57.522] | (199/183/4) | 385
[46.452, 57.382] | (199/184/4) | 386
[46.327, 57.242] | (199/185/4) | 387
[46.458, 57.357] | (200/185/4) | 388
[46.588, 57.471] | (201/185/4) | 389
[46.717, 57.584] | (202/185/4) | 390
[46.592, 57.446] | (202/186/4) | 391
[46.721, 57.558] | (203/186/4) | 392
[46.849, 57.671] | (204/186/4) | 393
[46.725, 57.533] | (204/187/4) | 394
[46.853, 57.645] | (205/187/4) | 395
[46.980, 57.756] | (206/187/4) | 396
[47.106, 57.866] | (207/187/4) | 397
[47.232, 57.976] | (208/187/4) | 398
[47.108, 57.839] | (208/188/4) | 399
[46.985, 57.703] | (208/189/4) | 400
[47.110, 57.813] | (209/189/4) | 401
[46.988, 57.678] | (209/190/4) | 402
[46.867, 57.543] | (209/191/4) | 403
