Calculating solvability percentage...
[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[80.459, 90.305] | (167/27/0) | 193
[80.555, 90.356] | (168/27/0) | 194
[80.650, 90.406] | (169/27/0) | 195
[80.745, 90.456] | (170/27/0) | 196
[80.838, 90.505] | (171/27/0) | 197
[80.930, 90.554] | (172/27/0) | 198
[81.022, 90.602] | (173/27/0) | 199
[80.557, 90.230] | (173/28/0) | 200
[80.649, 90.279] | (174/28/0) | 201
[80.741, 90.328] | (175/28/0) | 202
[80.831, 90.377] | (176/28/0) | 203
[80.921, 90.425] | (177/28/0) | 204
[81.010, 90.472] | (178/28/0) | 205
[81.099, 90.519] | (179/28/0) | 206
[81.186, 90.566] | (180/28/0) | 207
[81.273, 90.612] | (181/28/0) | 208
[81.358, 90.658] | (182/28/0) | 209
[81.443, 90.703] | (183/28/0) | 210
[81.528, 90.748] | (184/28/0) | 211
[81.086, 90.394] | (184/29/0) | 212
[81.171, 90.440] | (185/29/0) | 213
[81.256, 90.486] | (186/29/0) | 214
[81.339, 90.531] | (187/29/0) | 215
[81.422, 90.575] | (188/29/0) | 216
[81.504, 90.619] | (189/29/0) | 217
[81.585, 90.663] | (190/29/0) | 218
[81.666, 90.707] | (191/29/0) | 219
[81.746, 90.749] | (192/29/0) | 220
[81.825, 90.792] | (193/29/0) | 221
[81.904, 90.834] | (194/29/0) | 222
[81.982, 90.876] | (195/29/0) | 223
[82.059, 90.917] | (196/29/0) | 224
[82.135, 90.958] | (197/29/0) | 225
[82.211, 90.999] | (198/29/0) | 226
[82.287, 91.039] | (199/29/0) | 227
[82.361, 91.079] | (200/29/0) | 228
[82.435, 91.119] | (201/29/0) | 229
[82.509, 91.158] | (202/29/0) | 230
[82.581, 91.197] | (203/29/0) | 231
[82.173, 90.871] | (203/30/0) | 232
[82.247, 90.911] | (204/30/0) | 233
[82.320, 90.951] | (205/30/0) | 234
[82.392, 90.990] | (206/30/0) | 235
[82.464, 91.029] | (207/30/0) | 236
[82.535, 91.067] | (208/30/0) | 237
[82.606, 91.105] | (209/30/0) | 238
[82.210, 90.788] | (209/31/0) | 239
[82.281, 90.827] | (210/31/0) | 240
[82.352, 90.866] | (211/31/0) | 241
[82.422, 90.904] | (212/31/0) | 242
[82.492, 90.942] | (213/31/0) | 243
[82.561, 90.980] | (214/31/0) | 244
[82.629, 91.017] | (215/31/0) | 245
[82.245, 90.709] | (215/32/0) | 246
[82.314, 90.747] | (216/32/0) | 247
[82.383, 90.785] | (217/32/0) | 248
[82.451, 90.823] | (218/32/0) | 249
[82.519, 90.860] | (219/32/0) | 250
[82.144, 90.557] | (219/33/0) | 251
[82.212, 90.596] | (220/33/0) | 252
[82.280, 90.633] | (221/33/0) | 253
[82.347, 90.671] | (222/33/0) | 254
[82.414, 90.708] | (223/33/0) | 255
[82.480, 90.745] | (224/33/0) | 256
[82.545, 90.781] | (225/33/0) | 257
[82.611, 90.818] | (226/33/0) | 258
[82.675, 90.854] | (227/33/0) | 259
[82.313, 90.561] | (227/34/0) | 260
[82.378, 90.597] | (228/34/0) | 261
[82.021, 90.634] | (228/34/1) | 262
[82.087, 90.670] | (229/34/1) | 263
[82.152, 90.706] | (230/34/1) | 264
[82.217, 90.741] | (231/34/1) | 265
[82.282, 90.777] | (232/34/1) | 266
[82.346, 90.812] | (233/34/1) | 267
[82.409, 90.847] | (234/34/1) | 268
[82.472, 90.881] | (235/34/1) | 269
[82.125, 90.598] | (235/35/1) | 270
[82.189, 90.633] | (236/35/1) | 271
[82.252, 90.668] | (237/35/1) | 272
[82.315, 90.703] | (238/35/1) | 273
[82.377, 90.737] | (239/35/1) | 274
[82.439, 90.772] | (240/35/1) | 275
[82.500, 90.806] | (241/35/1) | 276
[82.561, 90.839] | (242/35/1) | 277
[82.225, 90.564] | (242/36/1) | 278
[82.286, 90.598] | (243/36/1) | 279
[82.347, 90.632] | (244/36/1) | 280
[82.408, 90.666] | (245/36/1) | 281
[82.468, 90.700] | (246/36/1) | 282
[82.528, 90.733] | (247/36/1) | 283
[82.587, 90.766] | (248/36/1) | 284
[82.646, 90.799] | (249/36/1) | 285
[82.705, 90.832] | (250/36/1) | 286
[82.763, 90.864] | (251/36/1) | 287
[82.821, 90.896] | (252/36/1) | 288
[82.879, 90.928] | (253/36/1) | 289
[82.936, 90.960] | (254/36/1) | 290
[82.992, 90.991] | (255/36/1) | 291
[83.049, 91.023] | (256/36/1) | 292
[83.105, 91.054] | (257/36/1) | 293
[83.160, 91.085] | (258/36/1) | 294
[83.215, 91.115] | (259/36/1) | 295
[83.270, 91.146] | (260/36/1) | 296
[83.325, 91.176] | (261/36/1) | 297
[83.379, 91.206] | (262/36/1) | 298
[83.433, 91.236] | (263/36/1) | 299
[83.486, 91.265] | (264/36/1) | 300
[83.539, 91.295] | (265/36/1) | 301
[83.592, 91.324] | (266/36/1) | 302
[83.644, 91.353] | (267/36/1) | 303
[83.696, 91.382] | (268/36/1) | 304
[83.748, 91.411] | (269/36/1) | 305
[83.800, 91.439] | (270/36/1) | 306
[83.851, 91.467] | (271/36/1) | 307
[83.902, 91.495] | (272/36/1) | 308
[83.952, 91.523] | (273/36/1) | 309
[84.002, 91.551] | (274/36/1) | 310
[83.696, 91.302] | (274/37/1) | 311
[83.746, 91.330] | (275/37/1) | 312
[83.797, 91.359] | (276/37/1) | 313
[83.494, 91.112] | (276/38/1) | 314
[83.545, 91.141] | (277/38/1) | 315
[83.596, 91.169] | (278/38/1) | 316
[83.646, 91.197] | (279/38/1) | 317
[83.348, 90.954] | (279/39/1) | 318
[83.399, 90.983] | (280/39/1) | 319
[83.105, 90.741] | (280/40/1) | 320
[83.156, 90.770] | (281/40/1) | 321
[83.206, 90.799] | (282/40/1) | 322
[83.257, 90.828] | (283/40/1) | 323
[83.307, 90.857] | (284/40/1) | 324
[83.357, 90.885] | (285/40/1) | 325
[83.406, 90.914] | (286/40/1) | 326
[83.455, 90.942] | (287/40/1) | 327
[83.504, 90.970] | (288/40/1) | 328
[83.553, 90.998] | (289/40/1) | 329
[83.601, 91.025] | (290/40/1) | 330
[83.649, 91.053] | (291/40/1) | 331
[83.697, 91.080] | (292/40/1) | 332
[83.744, 91.107] | (293/40/1) | 333
[83.792, 91.134] | (294/40/1) | 334
[83.839, 91.161] | (295/40/1) | 335
[83.885, 91.188] | (296/40/1) | 336
[83.932, 91.214] | (297/40/1) | 337
[83.651, 90.984] | (297/41/1) | 338
[83.698, 91.011] | (298/41/1) | 339
[83.745, 91.038] | (299/41/1) | 340
[83.791, 91.064] | (300/41/1) | 341
[83.837, 91.091] | (301/41/1) | 342
[83.883, 91.117] | (302/41/1) | 343
[83.928, 91.143] | (303/41/1) | 344
[83.973, 91.169] | (304/41/1) | 345
[84.018, 91.195] | (305/41/1) | 346
[84.063, 91.221] | (306/41/1) | 347
[83.791, 90.997] | (306/42/1) | 348
[83.836, 91.023] | (307/42/1) | 349
