Calculating solvability percentage...

[Lower Bound, Upper Bound] | Solvable/Unsolvable/Intractable | Current seed | (Est. Confidence Interval: Continue/Re-eval)
--- Timeout = 500 milliseconds ---
[96.875, 100.000] | 144/0/0 | 143 | (N/A)
[96.896, 100.000] | 145/0/0 | 144 | (N/A)
[96.917, 100.000] | 146/0/0 | 145 | (N/A)
[96.937, 100.000] | 147/0/0 | 146 | (N/A)
[96.957, 100.000] | 148/0/0 | 147 | (N/A)
[96.977, 100.000] | 149/0/0 | 148 | (N/A)
[96.997, 100.000] | 150/0/0 | 149 | (N/A)
[97.016, 100.000] | 151/0/0 | 150 | (N/A)
[97.035, 100.000] | 152/0/0 | 151 | (N/A)
[97.054, 100.000] | 153/0/0 | 152 | (N/A)
[97.073, 100.000] | 154/0/0 | 153 | (N/A)
[97.091, 100.000] | 155/0/0 | 154 | (N/A)
[96.096, 100.000] | 155/0/1 | 155 | (7.430, 2.909)
--- Timeout doubled to 16000 ms. Re-evaluating intractable seeds ---
[-- re-eval --] | 1/0/0 | 155
--- Re-evaluation complete ---
[97.109, 100.000] | 156/0/0 | 156 | (N/A)
[97.127, 100.000] | 157/0/0 | 156 | (N/A)
[96.144, 100.000] | 157/0/1 | 157 | (7.340, 2.873)
--- Timeout doubled to 32000 ms. Re-evaluating intractable seeds ---
[-- re-eval --] | 1/0/0 | 157
--- Re-evaluation complete ---
[97.145, 100.000] | 158/0/0 | 158 | (N/A)
[97.162, 100.000] | 159/0/0 | 158 | (N/A)
[97.179, 100.000] | 160/0/0 | 159 | (N/A)
[97.196, 100.000] | 161/0/0 | 160 | (N/A)
[97.213, 100.000] | 162/0/0 | 161 | (N/A)
[97.230, 100.000] | 163/0/0 | 162 | (N/A)
[97.246, 100.000] | 164/0/0 | 163 | (N/A)
[97.263, 100.000] | 165/0/0 | 164 | (N/A)
[97.279, 100.000] | 166/0/0 | 165 | (N/A)
[97.295, 100.000] | 167/0/0 | 166 | (N/A)
[97.310, 100.000] | 168/0/0 | 167 | (N/A)
[97.326, 100.000] | 169/0/0 | 168 | (N/A)
[97.341, 100.000] | 170/0/0 | 169 | (N/A)
[97.356, 100.000] | 171/0/0 | 170 | (N/A)
[97.371, 100.000] | 172/0/0 | 171 | (N/A)
[97.386, 100.000] | 173/0/0 | 172 | (N/A)
[97.401, 100.000] | 174/0/0 | 173 | (N/A)
[97.415, 100.000] | 175/0/0 | 174 | (N/A)
[97.430, 100.000] | 176/0/0 | 175 | (N/A)
[97.444, 100.000] | 177/0/0 | 176 | (N/A)
[97.458, 100.000] | 178/0/0 | 177 | (N/A)
[97.472, 100.000] | 179/0/0 | 178 | (N/A)
[97.485, 100.000] | 180/0/0 | 179 | (N/A)
[97.499, 100.000] | 181/0/0 | 180 | (N/A)
[97.512, 100.000] | 182/0/0 | 181 | (N/A)
[97.526, 100.000] | 183/0/0 | 182 | (N/A)
[97.539, 100.000] | 184/0/0 | 183 | (N/A)
[97.552, 100.000] | 185/0/0 | 184 | (N/A)
[97.565, 100.000] | 186/0/0 | 185 | (N/A)
[97.577, 100.000] | 187/0/0 | 186 | (N/A)
[97.590, 100.000] | 188/0/0 | 187 | (N/A)
[97.602, 100.000] | 189/0/0 | 188 | (N/A)
[97.615, 100.000] | 190/0/0 | 189 | (N/A)
[97.627, 100.000] | 191/0/0 | 190 | (N/A)
[97.639, 100.000] | 192/0/0 | 191 | (N/A)
[97.651, 100.000] | 193/0/0 | 192 | (N/A)
[97.663, 100.000] | 194/0/0 | 193 | (N/A)
[97.674, 100.000] | 195/0/0 | 194 | (N/A)
[97.686, 100.000] | 196/0/0 | 195 | (N/A)
[97.698, 100.000] | 197/0/0 | 196 | (N/A)
[97.709, 100.000] | 198/0/0 | 197 | (N/A)
[97.720, 100.000] | 199/0/0 | 198 | (N/A)
[97.731, 100.000] | 200/0/0 | 199 | (N/A)
[97.742, 100.000] | 201/0/0 | 200 | (N/A)
[97.753, 100.000] | 202/0/0 | 201 | (N/A)
[97.764, 100.000] | 203/0/0 | 202 | (N/A)
[97.775, 100.000] | 204/0/0 | 203 | (N/A)
[97.786, 100.000] | 205/0/0 | 204 | (N/A)
[97.796, 100.000] | 206/0/0 | 205 | (N/A)
[97.806, 100.000] | 207/0/0 | 206 | (N/A)
[97.817, 100.000] | 208/0/0 | 207 | (N/A)
[97.827, 100.000] | 209/0/0 | 208 | (N/A)
[97.837, 100.000] | 210/0/0 | 209 | (N/A)
[97.847, 100.000] | 211/0/0 | 210 | (N/A)
[97.105, 100.000] | 211/0/1 | 211 | (5.522, 2.153)
--- Timeout doubled to 64000 ms. Re-evaluating intractable seeds ---
