[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[76.635, 93.681] | (55/8/0) | 62 (inc timeout & re-eval expected CI: 0.170) (continue same length of time expected CI: 0.000)
[76.968, 93.785] | (56/8/0) | 63 (inc timeout & re-eval expected CI: 0.168) (continue same length of time expected CI: 0.000)
[77.293, 93.885] | (57/8/0) | 64 (inc timeout & re-eval expected CI: 0.166) (continue same length of time expected CI: 0.000)
[77.608, 93.983] | (58/8/0) | 65 (inc timeout & re-eval expected CI: 0.164) (continue same length of time expected CI: 0.000)
[77.915, 94.077] | (59/8/0) | 66 (inc timeout & re-eval expected CI: 0.162) (continue same length of time expected CI: 0.000)
[76.496, 93.101] | (59/9/0) | 67 (inc timeout & re-eval expected CI: 0.166) (continue same length of time expected CI: 0.000)
[76.809, 93.206] | (60/9/0) | 68 (inc timeout & re-eval expected CI: 0.164) (continue same length of time expected CI: 0.000)
[77.113, 93.308] | (61/9/0) | 69 (inc timeout & re-eval expected CI: 0.162) (continue same length of time expected CI: 0.000)
[77.410, 93.406] | (62/9/0) | 70 (inc timeout & re-eval expected CI: 0.160) (continue same length of time expected CI: 0.000)
[76.090, 92.474] | (62/10/0) | 71 (inc timeout & re-eval expected CI: 0.164) (continue same length of time expected CI: 0.000)
[74.823, 91.547] | (62/11/0) | 72 (inc timeout & re-eval expected CI: 0.167) (continue same length of time expected CI: 0.000)
[75.136, 91.667] | (63/11/0) | 73 (inc timeout & re-eval expected CI: 0.165) (continue same length of time expected CI: 0.000)
[75.441, 91.783] | (64/11/0) | 74 (inc timeout & re-eval expected CI: 0.163) (continue same length of time expected CI: 0.000)
[75.738, 91.896] | (65/11/0) | 75 (inc timeout & re-eval expected CI: 0.162) (continue same length of time expected CI: 0.000)
[76.029, 92.005] | (66/11/0) | 76 (inc timeout & re-eval expected CI: 0.160) (continue same length of time expected CI: 0.000)
[76.313, 92.112] | (67/11/0) | 77 (inc timeout & re-eval expected CI: 0.158) (continue same length of time expected CI: 0.000)
[76.590, 92.216] | (68/11/0) | 78 (inc timeout & re-eval expected CI: 0.156) (continue same length of time expected CI: 0.000)
[76.860, 92.318] | (69/11/0) | 79 (inc timeout & re-eval expected CI: 0.155) (continue same length of time expected CI: 0.000)
[77.125, 92.416] | (70/11/0) | 80 (inc timeout & re-eval expected CI: 0.153) (continue same length of time expected CI: 0.000)
[77.384, 92.513] | (71/11/0) | 81 (inc timeout & re-eval expected CI: 0.151) (continue same length of time expected CI: 0.000)
[77.636, 92.606] | (72/11/0) | 82 (inc timeout & re-eval expected CI: 0.150) (continue same length of time expected CI: 0.000)
[77.884, 92.698] | (73/11/0) | 83 (inc timeout & re-eval expected CI: 0.148) (continue same length of time expected CI: 0.000)
[78.125, 92.787] | (74/11/0) | 84 (inc timeout & re-eval expected CI: 0.147) (continue same length of time expected CI: 0.000)
[78.362, 92.874] | (75/11/0) | 85 (inc timeout & re-eval expected CI: 0.145) (continue same length of time expected CI: 0.000)
[78.594, 92.959] | (76/11/0) | 86 (inc timeout & re-eval expected CI: 0.144) (continue same length of time expected CI: 0.000)
[78.820, 93.043] | (77/11/0) | 87 (inc timeout & re-eval expected CI: 0.142) (continue same length of time expected CI: 0.000)
[79.042, 93.124] | (78/11/0) | 88 (inc timeout & re-eval expected CI: 0.141) (continue same length of time expected CI: 0.000)
[79.260, 93.203] | (79/11/0) | 89 (inc timeout & re-eval expected CI: 0.139) (continue same length of time expected CI: 0.000)
